Muscles	PercentGaitCycle	VerySlowLB	VerySlowMean	VerySlowUB	SlowLB	SlowMean	SlowUB	FreeLB	FreeMean	FreeUB	FastLB	FastMean	FastUB	VeryFastLB	VeryFastMean	VeryFastUB
Rectus Femoris	0	0.0158	0.0909	0.1661	0.0418	0.1365	0.2311	0.0758	0.2187	0.3616	0.1505	0.3171	0.4837	0.1919	0.3514	0.5109
Rectus Femoris	2	0.0177	0.0974	0.1771	0.0527	0.1644	0.2761	0.0977	0.2662	0.4346	0.193	0.3798	0.5666	0.221	0.4013	0.5815
Rectus Femoris	4	0.0167	0.1021	0.1875	0.0593	0.1859	0.3126	0.1157	0.3081	0.5005	0.2282	0.4371	0.646	0.2422	0.4431	0.644
Rectus Femoris	6	0.0137	0.1027	0.1918	0.0572	0.1908	0.3245	0.1204	0.3209	0.5215	0.2413	0.461	0.6807	0.2486	0.4591	0.6696
Rectus Femoris	8	0.0115	0.0998	0.1881	0.0473	0.1806	0.3139	0.109	0.2974	0.4858	0.2258	0.4366	0.6475	0.2357	0.4392	0.6428
Rectus Femoris	10	0.0097	0.0978	0.186	0.0359	0.1612	0.2865	0.0861	0.2515	0.417	0.1855	0.3746	0.5637	0.2034	0.3885	0.5737
Rectus Femoris	12	0.005	0.0968	0.1886	0.0265	0.1405	0.2544	0.0597	0.2022	0.3448	0.1333	0.2994	0.4655	0.1582	0.3234	0.4886
Rectus Femoris	14	0.0002	0.0946	0.189	0.0201	0.1232	0.2263	0.0363	0.1605	0.2847	0.0859	0.231	0.3761	0.1114	0.261	0.4105
Rectus Femoris	16	-0.0044	0.0912	0.1868	0.0163	0.1093	0.2023	0.0191	0.1293	0.2395	0.0528	0.1786	0.3044	0.0729	0.2116	0.3503
Rectus Femoris	18	-0.0137	0.0879	0.1896	0.0119	0.0973	0.1826	0.0084	0.1075	0.2066	0.0325	0.1438	0.255	0.0463	0.178	0.3097
Rectus Femoris	20	-0.0166	0.0831	0.1828	0.0061	0.087	0.1679	0.003	0.0928	0.1827	0.0196	0.124	0.2284	0.0299	0.1584	0.2868
Rectus Femoris	22	-0.0127	0.0787	0.1701	-0.0007	0.0788	0.1583	-0.0003	0.0833	0.1669	0.011	0.115	0.2189	0.0205	0.1492	0.278
Rectus Femoris	24	-0.0142	0.0761	0.1664	-0.008	0.0728	0.1537	-0.0038	0.0776	0.1589	0.0058	0.1119	0.218	0.0159	0.1472	0.2786
Rectus Femoris	26	-0.0223	0.0743	0.1708	-0.0139	0.0685	0.1509	-0.0077	0.0742	0.1561	0.0026	0.1115	0.2204	0.0153	0.1502	0.2851
Rectus Femoris	28	-0.0271	0.0716	0.1703	-0.0187	0.065	0.1487	-0.0117	0.072	0.1557	0.0001	0.112	0.2239	0.0165	0.157	0.2976
Rectus Femoris	30	-0.0302	0.0704	0.1711	-0.0202	0.0617	0.1436	-0.0157	0.0705	0.1567	-0.0012	0.1128	0.2267	0.0161	0.167	0.3178
Rectus Femoris	32	-0.0326	0.0699	0.1724	-0.0192	0.0587	0.1365	-0.0187	0.0696	0.1579	-0.0007	0.1138	0.2282	0.0129	0.1787	0.3446
Rectus Femoris	34	-0.0321	0.0688	0.1697	-0.019	0.0565	0.132	-0.0194	0.0693	0.158	0.001	0.1151	0.2293	0.0087	0.1907	0.3726
Rectus Femoris	36	-0.0285	0.0667	0.1618	-0.0183	0.0553	0.129	-0.0181	0.0692	0.1564	0.0023	0.1172	0.2322	0.0065	0.2014	0.3963
Rectus Femoris	38	-0.0279	0.065	0.1578	-0.018	0.0547	0.1274	-0.0154	0.0692	0.1538	0.002	0.1205	0.2389	0.0078	0.2105	0.4132
Rectus Femoris	40	-0.0252	0.0628	0.1508	-0.0179	0.0548	0.1275	-0.0129	0.0702	0.1533	-0.0003	0.1251	0.2505	0.0111	0.2175	0.4239
Rectus Femoris	42	-0.0262	0.0606	0.1473	-0.0178	0.0555	0.1287	-0.0134	0.0731	0.1596	-0.0041	0.1305	0.2651	0.0147	0.2217	0.4286
Rectus Femoris	44	-0.0258	0.0589	0.1436	-0.0183	0.0564	0.131	-0.0176	0.0783	0.1741	-0.0061	0.1353	0.2767	0.0206	0.2227	0.4249
Rectus Femoris	46	-0.0175	0.0558	0.1291	-0.0189	0.0578	0.1344	-0.0226	0.0846	0.1918	-0.0029	0.1384	0.2798	0.0327	0.2227	0.4127
Rectus Femoris	48	-0.0134	0.0541	0.1216	-0.0197	0.0603	0.1403	-0.0241	0.0901	0.2043	0.0058	0.1413	0.2769	0.0536	0.2277	0.4018
Rectus Femoris	50	-0.0134	0.0553	0.1239	-0.021	0.064	0.149	-0.0187	0.094	0.2067	0.0194	0.1486	0.2778	0.0831	0.2468	0.4104
Rectus Femoris	52	-0.0173	0.0573	0.132	-0.0209	0.0671	0.1552	-0.0068	0.0977	0.2022	0.0391	0.1661	0.293	0.1216	0.2881	0.4547
Rectus Femoris	54	-0.0278	0.0605	0.1487	-0.0182	0.0673	0.1528	0.0056	0.1033	0.2009	0.062	0.1978	0.3336	0.1727	0.3533	0.5338
Rectus Femoris	56	-0.0266	0.0604	0.1473	-0.0142	0.064	0.1421	0.01	0.1116	0.2131	0.0816	0.2425	0.4034	0.2348	0.4331	0.6315
Rectus Femoris	58	-0.0312	0.0587	0.1486	-0.0131	0.0591	0.1314	0.0041	0.122	0.24	0.0952	0.2913	0.4874	0.2938	0.5098	0.7258
Rectus Femoris	60	-0.0354	0.0559	0.1472	-0.0169	0.0554	0.1276	-0.0063	0.1321	0.2704	0.1021	0.33	0.5578	0.3322	0.5643	0.7965
Rectus Femoris	62	-0.0378	0.0525	0.1428	-0.0229	0.0537	0.1303	-0.0152	0.1374	0.29	0.1009	0.3465	0.5921	0.3404	0.5861	0.8318
Rectus Femoris	64	-0.0397	0.0488	0.1372	-0.0279	0.0528	0.1334	-0.0214	0.1344	0.2902	0.0901	0.3375	0.5849	0.3203	0.5764	0.8324
Rectus Femoris	66	-0.041	0.046	0.133	-0.0302	0.0508	0.1318	-0.0258	0.1233	0.2724	0.0707	0.309	0.5473	0.2811	0.5443	0.8074
Rectus Femoris	68	-0.0407	0.0434	0.1274	-0.0319	0.0478	0.1275	-0.0287	0.108	0.2446	0.0468	0.2718	0.4969	0.2352	0.5006	0.7659
Rectus Femoris	70	-0.0378	0.0418	0.1214	-0.033	0.0446	0.1222	-0.0305	0.0935	0.2175	0.0236	0.236	0.4484	0.1919	0.4525	0.7131
Rectus Femoris	72	-0.0398	0.0419	0.1236	-0.0329	0.0419	0.1167	-0.0337	0.0829	0.1994	0.0047	0.2064	0.408	0.154	0.4028	0.6515
Rectus Femoris	74	-0.0462	0.0431	0.1324	-0.033	0.04	0.113	-0.0385	0.0759	0.1903	-0.0081	0.1824	0.3729	0.1207	0.3518	0.5829
Rectus Femoris	76	-0.0494	0.0435	0.1364	-0.0332	0.0388	0.1109	-0.0419	0.0707	0.1833	-0.0153	0.1614	0.3381	0.0915	0.3007	0.5099
Rectus Femoris	78	-0.0517	0.0437	0.1392	-0.0329	0.0383	0.1095	-0.0419	0.066	0.174	-0.0177	0.1421	0.302	0.0674	0.2526	0.4377
Rectus Femoris	80	-0.0516	0.0452	0.1419	-0.0316	0.0391	0.1098	-0.0388	0.0625	0.1637	-0.0145	0.1259	0.2662	0.0503	0.2121	0.374
Rectus Femoris	82	-0.0526	0.0495	0.1516	-0.0294	0.0419	0.1131	-0.0336	0.0615	0.1567	-0.0059	0.1152	0.2363	0.0417	0.184	0.3264
Rectus Femoris	84	-0.0493	0.0556	0.1606	-0.0256	0.0473	0.1201	-0.0271	0.0649	0.1569	0.0055	0.1128	0.22	0.042	0.1713	0.3006
Rectus Femoris	86	-0.0511	0.064	0.1791	-0.0204	0.055	0.1304	-0.0179	0.0735	0.165	0.0185	0.1196	0.2208	0.0507	0.1741	0.2975
Rectus Femoris	88	-0.0463	0.0727	0.1917	-0.0153	0.0646	0.1446	-0.0059	0.087	0.1799	0.0326	0.1354	0.2381	0.0668	0.1901	0.3133
Rectus Femoris	90	-0.0314	0.0822	0.1957	-0.0091	0.0754	0.1599	0.0063	0.1038	0.2013	0.0473	0.1578	0.2682	0.0872	0.2149	0.3425
Rectus Femoris	92	-0.0284	0.0916	0.2116	-0.0009	0.0865	0.1739	0.0192	0.1223	0.2254	0.0632	0.1842	0.3052	0.109	0.2441	0.3793
Rectus Femoris	94	-0.0244	0.0951	0.2147	0.0047	0.0977	0.1908	0.0326	0.1422	0.2519	0.0803	0.2132	0.3461	0.1313	0.2756	0.4198
Rectus Femoris	96	-0.0206	0.0952	0.211	0.0129	0.1095	0.206	0.0453	0.1656	0.2858	0.0991	0.2465	0.3938	0.156	0.3103	0.4645
Rectus Femoris	98	-0.0098	0.0924	0.1947	0.026	0.1255	0.225	0.0607	0.1963	0.3319	0.1255	0.2899	0.4542	0.1836	0.3517	0.5197
Rectus Femoris	100	-0.003	0.0968	0.1965	0.0397	0.1495	0.2593	0.0814	0.2371	0.3929	0.1632	0.3478	0.5323	0.2111	0.4004	0.5896
Medial Hamstrings	0	0.0425	0.1744	0.3062	0.0896	0.2552	0.4209	0.1495	0.3355	0.5216	0.2262	0.4359	0.6456	0.316	0.5479	0.7797
Medial Hamstrings	2	0.0517	0.1964	0.3411	0.0853	0.2631	0.4409	0.1351	0.3178	0.5005	0.1929	0.3997	0.6066	0.2735	0.4924	0.7113
Medial Hamstrings	4	0.0529	0.2088	0.3648	0.0756	0.2626	0.4497	0.1213	0.3042	0.4871	0.1631	0.3696	0.576	0.2345	0.4436	0.6526
Medial Hamstrings	6	0.0547	0.2114	0.3681	0.0657	0.2523	0.439	0.1055	0.2908	0.4762	0.1368	0.3442	0.5516	0.2	0.4049	0.6098
Medial Hamstrings	8	0.0528	0.2052	0.3577	0.0556	0.2316	0.4076	0.0875	0.2727	0.4578	0.1137	0.3225	0.5312	0.1698	0.3767	0.5836
Medial Hamstrings	10	0.0466	0.1933	0.3401	0.0438	0.205	0.3663	0.0688	0.2483	0.4279	0.0945	0.3038	0.513	0.1438	0.3572	0.5705
Medial Hamstrings	12	0.0388	0.1798	0.3208	0.0315	0.1779	0.3243	0.0506	0.2227	0.3948	0.0809	0.2877	0.4945	0.1239	0.3438	0.5636
Medial Hamstrings	14	0.0287	0.1693	0.3099	0.0201	0.155	0.2899	0.0354	0.202	0.3685	0.0725	0.2732	0.4739	0.1118	0.3346	0.5573
Medial Hamstrings	16	0.0218	0.1597	0.2975	0.0117	0.1409	0.2701	0.0249	0.1882	0.3514	0.0671	0.2593	0.4515	0.1066	0.3288	0.5511
Medial Hamstrings	18	0.0197	0.1529	0.2861	0.0066	0.1355	0.2643	0.0192	0.1792	0.3391	0.0618	0.2457	0.4296	0.1042	0.3262	0.5482
Medial Hamstrings	20	0.017	0.1492	0.2815	0.0044	0.1335	0.2627	0.0159	0.1723	0.3286	0.0545	0.2328	0.411	0.1013	0.3263	0.5514
Medial Hamstrings	22	0.0132	0.1454	0.2777	0.004	0.1309	0.2578	0.0128	0.1661	0.3194	0.0461	0.221	0.3958	0.0962	0.3283	0.5603
Medial Hamstrings	24	0.0097	0.1388	0.2678	0.0033	0.1264	0.2495	0.0104	0.1603	0.3101	0.0393	0.2108	0.3823	0.0907	0.3304	0.5702
Medial Hamstrings	26	0.0048	0.1303	0.2558	0.0025	0.1193	0.236	0.0091	0.1546	0.3	0.034	0.203	0.372	0.0879	0.3306	0.5733
Medial Hamstrings	28	0.0004	0.1227	0.2449	0.0003	0.1106	0.2209	0.0064	0.1484	0.2903	0.0273	0.1978	0.3684	0.0882	0.3265	0.5649
Medial Hamstrings	30	-0.0036	0.1164	0.2364	-0.0032	0.1032	0.2097	0.001	0.1414	0.2817	0.0185	0.1945	0.3705	0.0882	0.3174	0.5466
Medial Hamstrings	32	-0.0045	0.1119	0.2282	-0.0079	0.099	0.206	-0.0061	0.1347	0.2755	0.0103	0.1916	0.373	0.084	0.3041	0.5241
Medial Hamstrings	34	-0.0076	0.1119	0.2313	-0.0106	0.0974	0.2054	-0.0137	0.13	0.2736	0.0049	0.1888	0.3728	0.0734	0.2878	0.5022
Medial Hamstrings	36	-0.0139	0.1129	0.2397	-0.0124	0.0973	0.207	-0.0204	0.1274	0.2751	0.0017	0.1861	0.3705	0.0578	0.2693	0.4809
Medial Hamstrings	38	-0.0172	0.1121	0.2413	-0.017	0.0978	0.2125	-0.0259	0.126	0.2779	-0.0014	0.1824	0.3661	0.0422	0.2483	0.4543
Medial Hamstrings	40	-0.0195	0.1134	0.2463	-0.0226	0.097	0.2165	-0.031	0.1246	0.2802	-0.0054	0.1757	0.3569	0.0314	0.2244	0.4174
Medial Hamstrings	42	-0.0189	0.1114	0.2417	-0.0243	0.0945	0.2132	-0.0359	0.1215	0.279	-0.0108	0.1646	0.34	0.0262	0.199	0.3719
Medial Hamstrings	44	-0.0219	0.1098	0.2416	-0.0244	0.0914	0.2073	-0.0398	0.1162	0.2723	-0.0157	0.1499	0.3154	0.0237	0.1753	0.3268
Medial Hamstrings	46	-0.0243	0.1059	0.2361	-0.0244	0.0885	0.2015	-0.0412	0.1092	0.2596	-0.0172	0.1345	0.2861	0.0198	0.1566	0.2934
Medial Hamstrings	48	-0.0238	0.1004	0.2246	-0.0233	0.0858	0.195	-0.0383	0.1023	0.2429	-0.0151	0.1218	0.2586	0.0132	0.1448	0.2765
Medial Hamstrings	50	-0.0201	0.0945	0.2091	-0.0218	0.0843	0.1904	-0.0318	0.0976	0.227	-0.0117	0.1138	0.2393	0.0068	0.1395	0.2722
Medial Hamstrings	52	-0.02	0.0905	0.201	-0.0205	0.0845	0.1894	-0.026	0.0953	0.2167	-0.0091	0.1097	0.2284	0.0024	0.1378	0.2732
Medial Hamstrings	54	-0.0227	0.0881	0.199	-0.02	0.0857	0.1913	-0.0245	0.0938	0.2122	-0.0068	0.1066	0.22	0.0004	0.1362	0.2721
Medial Hamstrings	56	-0.0261	0.0874	0.2009	-0.0186	0.0862	0.191	-0.0257	0.0911	0.2079	-0.0041	0.102	0.2081	0.0011	0.1323	0.2634
Medial Hamstrings	58	-0.0286	0.0883	0.2052	-0.0167	0.0847	0.1861	-0.0254	0.0867	0.1987	-0.0021	0.0956	0.1934	0.0034	0.1251	0.2467
Medial Hamstrings	60	-0.0278	0.089	0.2057	-0.0143	0.0824	0.1791	-0.0239	0.0813	0.1864	-0.0039	0.0886	0.181	0.0046	0.1156	0.2267
Medial Hamstrings	62	-0.0273	0.0912	0.2096	-0.0139	0.0811	0.176	-0.0233	0.0757	0.1748	-0.0061	0.0815	0.1691	0.0017	0.1057	0.2098
Medial Hamstrings	64	-0.0292	0.0932	0.2155	-0.0141	0.0803	0.1746	-0.0235	0.0708	0.1652	-0.0043	0.0751	0.1545	-0.0046	0.097	0.1986
Medial Hamstrings	66	-0.0261	0.0933	0.2128	-0.014	0.0792	0.1725	-0.0247	0.0675	0.1596	-0.0037	0.0703	0.1442	-0.0105	0.0907	0.1918
Medial Hamstrings	68	-0.0255	0.0938	0.213	-0.0153	0.0786	0.1724	-0.0269	0.0664	0.1596	-0.0088	0.0681	0.145	-0.015	0.088	0.191
Medial Hamstrings	70	-0.0311	0.0924	0.2158	-0.0188	0.0788	0.1764	-0.0299	0.0671	0.1642	-0.0176	0.0687	0.155	-0.0197	0.0904	0.2004
Medial Hamstrings	72	-0.032	0.0889	0.2099	-0.0272	0.079	0.1852	-0.0326	0.0685	0.1695	-0.0243	0.0711	0.1665	-0.0224	0.0999	0.2223
Medial Hamstrings	74	-0.0324	0.0848	0.2021	-0.0317	0.076	0.1837	-0.0309	0.0694	0.1696	-0.023	0.0758	0.1746	-0.0164	0.1195	0.2555
Medial Hamstrings	76	-0.0326	0.0778	0.1881	-0.0239	0.0695	0.1629	-0.0219	0.0712	0.1643	-0.0115	0.0862	0.1839	0.0057	0.1526	0.2994
Medial Hamstrings	78	-0.032	0.0717	0.1753	-0.0138	0.0643	0.1424	-0.0078	0.0791	0.1659	0.0098	0.1081	0.2064	0.0479	0.2022	0.3565
